id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept,Ploidy,K
SUM-159_NLS_2N_O1_A18_seedT2,SUM-159,SUM-159_NLS_2N_O1_A18_seed,SUM-159_NLS_2N_O1_A18_seed,26,18,8/20/25,5,10139372,2N,starvation,0,0.571675739,571291.7068,2,14000000
SUM-159_NLS_2N_O1_A19_seed,SUM-159,SUM-159_NLS_2N_O1_A18_seedT2,SUM-159_NLS_2N_O1_A19_seed,27,19,8/22/25,0,1129568,2N,starvation,0,0.514139395,1265443.842,2,14000000
SUM-159_NLS_2N_O1_A19_seedT1,SUM-159,SUM-159_NLS_2N_O1_A19_seed,SUM-159_NLS_2N_O1_A19_seed,27,19,8/25/25,3,7860186,2N,starvation,0,0.514139395,1265443.842,2,14000000
SUM-159_NLS_2N_O1_A19_seedT2,SUM-159,SUM-159_NLS_2N_O1_A19_seed,SUM-159_NLS_2N_O1_A19_seed,27,19,8/27/25,5,13953612,2N,starvation,0,0.514139395,1265443.842,2,14000000
SUM-159_NLS_2N_O1_A2_seedT1,SUM-159,SUM-159_NLS_2N_O1_A2_seed,SUM-159_NLS_2N_O1_A2_seed,10,2,11/22/24,2,832980,2N,starvation,1,0.559363523,348668.4442,2,14000000
SUM-159_NLS_2N_O1_A2_seed,SUM-159,SUM-159_NLS_2N_O1_A1_seedT1,SUM-159_NLS_2N_O1_A2_seed,10,2,11/20/24,0,404570,2N,starvation,1,0.559363523,348668.4442,2,14000000
SUM-159_NLS_2N_O1_A2_seedT2,SUM-159,SUM-159_NLS_2N_O1_A2_seed,SUM-159_NLS_2N_O1_A2_seed,10,2,11/25/24,5,6311159,2N,starvation,1,0.559363523,348668.4442,2,14000000
SUM-159_NLS_2N_O1_A20_seed,SUM-159,SUM-159_NLS_2N_O1_A19_seedT2,SUM-159_NLS_2N_O1_A20_seed,28,20,8/29/25,0,588177,2N,starvation,0,0.426979996,502819.1886,2,14000000
SUM-159_NLS_2N_O1_A20_seedT1,SUM-159,SUM-159_NLS_2N_O1_A20_seed,SUM-159_NLS_2N_O1_A20_seed,28,20,9/1/25,3,1223141,2N,starvation,0,0.426979996,502819.1886,2,14000000
SUM-159_NLS_2N_O1_A20_seedT2,SUM-159,SUM-159_NLS_2N_O1_A20_seed,SUM-159_NLS_2N_O1_A20_seed,28,20,9/3/25,5,5379370,2N,starvation,0,0.426979996,502819.1886,2,14000000
